Country;2008;2009;2010;2011;2012;2013;2014;2015;2016
 Myanmar;3903.8583;4258.7407;4640.7927;4881.2613;5136.7955;5465.4187;5813.6128;6156.5789;6437.4086
 Namibia;13290.5639;13000.2965;13188.5894;13612.8779;13674.6728;14486.2392;14982.0183;15366.1282;14954.1529
 Nepal;3031.2816;3110.9189;3164.2926;3213.4696;3273.897;3363.5568;3428.7879;3429.6675;3357.6092
 Netherlands;50460.7848;49177.3386;49871.4724;50851.789;50021.5031;49317.2457;48613.04;49212.2028;49987.1337
 New Zealand;34101.1745;34578.3334;34213.9569;34922.2724;35399.9464;36521.7172;37519.4526;38308.059;39366.4326
 Nicaragua;5639.7681;5482.9449;5355.4335;5486.6747;5651.5063;5780.5775;5920.882;6073.633;6215.3379
 Niger;1665.4368;1594.9895;1668.8468;1649.7651;1760.8721;1780.1299;1848.6452;1848.2904;1862.6335
 Nigeria;8040.708;8258.7293;8672.4315;8840.6162;9047.3441;9272.0257;9746.8426;9765.0365;9370.2795
 Northern Africa;13352.1523;13292.458;13399.3867;12458.2725;13016.8145;12450.2656;12440.5244;12619.1504;12738.1426
 Northern America;55905.2188;53894.7188;54890.8477;55653.2383;56965.582;57255.0938;58259.7188;59016.0703;59371.3984
 Norway;72984.9807;70722.1601;70152.5083;69742.5616;70464.475;70034.1664;70366.6545;70502.9301;69562.8243
 Oceania;35988.6211;35756.1211;35826.6328;35886.7617;36185.4102;36846.5586;36898.5352;37321.2617;37699.3516
 Oceania ;4867.3906;4865.208;5016.333;5129.1807;5167.8462;5285.627;5527.166;5632.2808;5635.1025
 Oman;60529.8745;58809.3426;56162.373;49455.0409;47611.8512;44602.0505;40560.6249;40389.7088;40396.5388
 Pakistan;6592.184;6592.8903;6602.1201;6659.5511;6750.3663;6876.9341;7058.9358;7145.9675;7286.0224
 Palestine;6838.5687;6977.7939;7214.4948;7833.496;8029.603;8003.5615;7839.3998;7746.4158;7536.0874
 Panama;18787.5976;18361.3506;18478.8718;20788.6947;22414.3471;23347.7377;24722.0969;24984.7457;25677.5327
 Papua New Guinea;4638.7858;4694.7073;4916.866;5053.276;5094.4526;5170.0629;5504.0448;5595.1948;5581.0023
 Paraguay;9638.7586;8941.4563;9898.1944;10299.6643;9882.6175;11033.274;11283.5831;11292.4014;11521.1364
 Peru;11956.5853;11907.0017;12468.1651;12954.7887;13649.8286;14331.0528;14477.1767;14819.8778;15120.3169
 Philippines;10225.0088;9633.7171;10012.6101;10083.9651;10569.5761;11140.1973;11516.7062;11915.6541;12453.1687
 Poland;20652.0105;20815.9779;21480.8972;22459.8763;22687.8178;22993.7074;23628.2336;24330.9684;24972.3227
 Portugal;27260.3011;26421.0817;26955.9756;26851.8333;25679.8804;25742.5293;25958.9972;26264.4533;26686.1124
 Puerto Rico;26677.1047;25988.5832;25723.1632;25915.2497;26118.93;25784.0843;25346.9717;25221.6196;24641.9158
 Qatar;121115.6569;110413.8789;112616.1032;123260.3854;125474.3456;128458.2134;130728.8728;134675.696;135186.8626
 Romania;18454.8694;17400.612;17400.503;18000.0168;18254.3;18883.5937;19810.7588;20459.4956;21553.3938
 Russia;23865.3121;21879.5404;22657.4939;25177.4366;26189.5092;26417.2986;27060.7647;25802.1662;24992.5967
